title,genres,synopsis,rating,actors,directors
Your Heart Will Be Broken,"Romance,Drama","High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",6.0,"Veronika Zhuravleva,Daniel Vegas,Alya Mayer",Mikhail Vaynberg
Peaky Blinders: The Immortal Man,"Crime,Drama","After his estranged son gets embroiled in a Nazi plot, self-exiled gangster Tommy Shelby must return to Birmingham to save his family — and his nation.",7.363,"Cillian Murphy,Barry Keoghan,Rebecca Ferguson",Tom Harper
Avatar: Fire and Ash,"Science Fiction,Adventure,Fantasy","In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",7.26,"Sam Worthington,Zoe Saldaña,Sigourney Weaver",James Cameron
Project Hail Mary,"Science Fiction,Adventure","Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone.",8.2,"Ryan Gosling,James Ortiz,Sandra Hüller","Phil Lord,Christopher Miller"
Shelter,"Action,Crime,Thriller","A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",6.74,"Jason Statham,Bodhi Rae Breathnach,Michael Shaeffer",Ric Roman Waugh
Scream 7,"Horror,Mystery,Crime","When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",5.8,"Neve Campbell,Courteney Cox,Isabel May",Kevin Williamson
Pretty Lethal,"Action,Thriller,Horror",A troupe of ballerinas find themselves fighting for survival as they attempt to escape from a remote inn after their bus breaks down on the way to a dance competition.,6.8,"Maddie Ziegler,Lana Condor,Iris Apatow",Vicky Jewson
War Machine,"Action,Science Fiction,Thriller","On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.",7.267,"Alan Ritchson,Dennis Quaid,Stephan James",Patrick Hughes
Crime 101,"Crime,Thriller","When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher.",7.0,"Chris Hemsworth,Mark Ruffalo,Halle Berry",Bart Layton
Send Help,"Horror,Thriller,Comedy","Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",7.072,"Rachel McAdams,Dylan O'Brien,Edyll Ismail",Sam Raimi
